@relation weka.datagenerators.classifiers.classification.RandomRBF-S_1_-n_100_-a_10_-c_2_-C_50

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {c0,c1}

@data
-0.064157,2.12577,-0.250237,0.660589,0.973706,1.105797,0.097506,0.551934,0.587733,0.097451,c1
-0.278093,-0.129253,0.771819,0.623009,0.133008,0.780532,-0.007191,0.298572,0.358839,0.049191,c0
0.235731,0.865809,0.367111,0.982741,0.530612,0.433781,0.316156,0.152245,0.241488,0.964746,c1
0.174907,0.860927,0.385482,0.610822,0.66191,1.130034,0.920101,0.185473,0.179926,0.788494,c0
-1.072271,2.378999,1.700865,0.524401,-0.567546,1.501595,1.622153,-0.552915,1.867529,-0.209093,c0
0.470735,0.851435,0.670952,0.604247,0.117281,1.191738,0.654426,0.685518,0.175103,0.426136,c0
0.132353,0.026735,0.814488,0.246363,0.794957,0.805925,0.179102,0.291492,0.663135,0.479342,c0
-0.15975,-0.077423,0.012191,0.982218,0.166194,0.785409,1.0118,1.047866,0.959215,0.945375,c1
0.696886,0.348719,0.164808,0.398003,0.966037,-0.054957,1.019634,0.962247,0.890943,0.891133,c0
0.393448,1.031591,-0.094682,0.49914,0.343776,0.487009,0.424117,0.633515,0.535531,0.454508,c1
0.637115,0.795431,0.387225,0.759863,0.28432,0.608639,0.509926,0.303472,0.886991,0.558949,c1
0.103044,0.419616,0.861511,0.784832,0.485029,0.319253,0.010186,0.239419,0.373079,0.125005,c0
-0.453732,-0.024227,0.384238,0.097141,1.272265,0.434127,0.493818,-0.128352,0.894367,0.804493,c0
0.677135,0.925601,0.246405,0.241735,0.718191,0.328013,0.619119,0.319812,0.019365,0.467056,c0
0.190719,0.396679,0.34541,0.597971,1.03758,0.835836,0.25982,-0.04419,0.907482,0.671289,c1
0.378868,0.156362,0.413075,0.397002,0.897536,0.683851,0.283072,0.175908,0.009643,0.624188,c0
0.573239,0.505041,0.197293,0.307619,0.417078,0.905623,0.268911,0.338875,0.485603,0.0085,c0
1.168869,1.232584,-0.089839,-0.207087,0.092922,0.446851,0.50596,0.052908,0.185389,0.994312,c1
0.134695,0.488191,0.18185,0.183018,1.255614,0.399399,0.582389,0.631793,0.457683,0.503672,c0
0.027381,0.535848,1.149564,0.457263,0.868027,1.21033,0.045715,0.674571,0.642024,-0.175217,c0
0.233437,0.404453,0.988847,0.211692,0.586881,0.520461,0.940996,0.509289,0.072206,0.203568,c1
0.350871,0.381526,0.436625,0.040531,0.741536,0.550763,0.435327,0.495094,0.428527,0.490785,c0
0.720501,0.885807,0.138934,0.115731,0.661783,0.228346,0.532486,0.302891,0.029046,0.559658,c0
0.059245,0.183459,0.695227,0.325471,0.48126,0.542757,-0.086003,0.52029,0.836188,0.333608,c0
-0.255797,1.242645,1.050858,0.84919,0.27819,0.452034,1.275449,0.5636,-0.171827,0.904234,c0
0.542814,0.032072,0.305126,0.350929,0.764539,0.021969,0.63053,0.413527,0.343434,0.33207,c1
0.161397,-0.601986,-0.094503,0.365556,1.249546,0.324881,1.506824,-0.161079,-0.430861,0.543336,c0
0.05403,0.147593,0.494085,1.406915,0.947877,1.129,0.139277,-0.164117,0.435276,1.283063,c0
0.623939,-0.110394,0.233416,0.223144,0.682064,0.032696,0.603625,0.541299,0.343947,0.318804,c1
0.953681,0.172418,0.926591,0.430967,0.828741,0.095667,0.17446,0.38057,0.334333,0.841143,c0
0.419448,0.052731,0.668508,0.056505,0.744118,0.297069,0.584572,0.015445,0.948194,0.396052,c1
1.039859,0.616235,0.784915,0.707698,0.298297,-0.240254,0.77243,0.524407,0.416464,0.844305,c1
-0.013998,0.232028,0.71984,0.656917,0.433068,0.649014,0.048951,0.321862,0.968455,0.174502,c0
0.242701,0.806013,0.431998,0.933084,0.440874,0.265721,0.383808,0.332643,0.164119,1.155169,c1
-0.025928,0.699121,0.517428,0.732327,0.218074,0.878797,0.502549,0.208726,0.643909,0.613485,c0
0.483436,0.981663,0.60429,0.983589,0.420073,0.137959,0.92771,0.960963,0.459659,0.270653,c0
0.913968,0.34865,0.157946,0.112003,0.485233,0.868412,0.420937,0.531598,0.597256,0.189474,c0
0.77354,0.82082,0.443267,0.278136,0.262919,0.053421,0.610585,0.307221,0.648631,0.96308,c1
0.199781,0.404487,0.996115,0.20087,0.538467,0.435166,0.984165,0.462319,0.016717,0.197043,c1
0.160714,1.008902,0.158893,0.22476,0.837038,0.634953,0.041177,-0.247447,0.513926,0.75167,c1
0.195731,0.84366,0.424347,0.943593,0.504424,0.369395,0.285071,0.095423,0.244259,0.975501,c1
0.701355,0.055604,0.597339,0.582889,0.496328,0.84258,0.863939,0.99195,0.130972,0.09064,c1
0.703317,0.933176,0.308534,0.252571,0.755788,0.374707,0.668762,0.319874,0.037779,0.450995,c0
0.196567,0.034717,0.907598,0.87439,0.591772,0.481229,0.020288,0.051907,0.731019,0.08915,c0
0.947727,0.805338,0.843321,0.182816,0.63237,0.012724,0.592193,0.217207,0.913439,0.69131,c1
0.742218,0.264992,0.673886,0.918028,0.306677,0.685166,0.189221,0.908204,0.705102,0.492294,c0
0.861899,0.281492,0.715099,0.791399,0.877601,0.422446,0.119054,0.407656,0.790608,0.001191,c1
0.077544,0.331654,0.149802,1.065359,0.60633,1.040429,0.948693,0.743575,0.892564,0.578175,c1
-0.240811,1.163674,0.653488,-0.358918,0.343511,0.917444,0.626193,-0.270364,0.572531,0.042495,c0
0.768798,0.79042,0.156671,0.376543,0.709855,0.332487,0.662318,0.432088,-0.052018,0.423209,c0
0.785232,0.262983,0.770786,0.975165,0.972634,0.21769,0.460162,0.125405,0.24968,0.648131,c1
0.608901,-0.508483,0.710258,-0.377351,0.934925,1.340488,0.973727,0.853391,-0.469116,0.471147,c0
0.129928,1.074766,0.63193,1.338778,0.202819,0.395253,1.133748,1.10541,0.339893,0.753525,c0
0.654186,0.913914,0.251854,0.188611,0.781821,0.321949,0.659861,0.263399,-0.050503,0.446543,c0
